,sql-server,sql,database,ado.net,mysql,sql-server-2008,entity-framework-4,entity-framework,nhibernate,oracle,xml,xml-serialization,excel,winforms,datagridview,gridview,image,datetime,azure,powershell,c#,c#-4.0,design-patterns,oop,architecture,dependency-injection,generics,dll,com,assemblies,msbuild,deployment,interop,php,exception,exception-handling,wpf,xaml,data-binding,events,mvvm,user-interface,user-controls,java,vb.net,c++,clr,c++-cli,garbage-collection,linq,linq-to-sql,lambda,security,encryption,mono,.net-2.0,.net-4.0,.net-3.5,visual-studio,visual-studio-2010,visual-studio-2008,visual-studio-2012,regex,string,multithreading,asynchronous,task-parallel-library,async-await,silverlight,windows-phone-7,collections,arrays,list,json,javascript,html,jquery,ajax,windows,windows-services,winapi,sockets,compact-framework,wcf,unit-testing,reflection,debugging,performance,f#,iis,asp.net-mvc,asp.net-mvc-3,asp.net-mvc-4,asp.net-web-api,asp.net,soap,rest,serialization,web-services,configuration
mvvm,0.9999202,0.9999499,0.99967146,0.9996659,0.99999064,0.9999448,0.9987813,0.99535465,0.9991515,0.9999701,0.9998221,0.9999443,0.9999601,0.99929017,0.9993168,0.99898404,0.9996404,0.9997588,0.9998498,0.9999729,0.991484,0.99675596,0.9921124,0.999447,0.99556106,0.9957476,0.9992483,0.9996822,0.9999555,0.9998149,1.0,0.99992394,1.0,0.9999918,0.9997736,0.99948525,0.9090803,0.9560899,0.96456707,0.9960251,0.0,0.9986818,0.98645,0.9999515,0.9987139,0.9999782,0.99994004,0.9998366,0.9997043,0.999237,0.9989076,0.99960834,0.9997602,0.9999668,0.9998083,1.0,0.99769104,0.9992863,0.99967474,0.9991959,0.9999317,0.99913955,0.99997604,0.9999545,0.9985793,0.99827594,0.99890906,0.99767345,0.9687211,0.9907353,0.99883324,0.9999422,0.9995882,0.9997519,0.9995726,0.9999233,0.9998502,0.9998822,0.99971205,1.0,0.99997336,1.0,0.99994093,0.99780035,0.9981006,0.9995661,0.9998764,0.99961406,0.99944305,1.0,0.9986545,0.999425,0.99926853,0.9997659,0.99975306,1.0,0.999844,0.99973416,0.99972177,0.9999576
user-interface,0.99983734,0.9997595,0.9988678,0.99994564,0.9996668,0.999943,1.0,0.9999867,0.99989253,0.9997339,0.99769366,1.0,0.99941796,0.9903999,0.99874693,0.9991128,0.99708825,0.9997743,0.99993896,0.99867123,0.9971519,0.99956405,0.99509573,0.9982424,0.99814296,0.9998461,0.99978197,0.9992978,0.99979115,1.0,1.0,0.99978644,0.99988204,0.9996533,0.9992572,0.9996425,0.9929323,0.99705637,0.99893045,0.9956921,0.9986818,0.0,0.99613047,0.99071485,0.99822843,0.9951612,0.9998463,0.9992981,0.9998063,0.9999475,0.99997646,0.99981976,0.99944896,0.99993473,0.9993461,0.9995981,0.9995523,0.99957705,0.9979738,0.99814034,0.9990688,0.9992734,0.999922,0.9995276,0.9900378,0.99883336,0.9997295,0.9998186,0.9979818,0.99900013,0.9997836,0.9992474,0.99920565,0.9997075,0.99872065,0.998557,0.99761426,0.9990495,0.99350584,0.9995515,0.9926393,0.9994319,0.9994812,0.9997447,0.99882865,0.9997012,0.9991822,0.9984353,0.99959886,1.0,0.99928796,0.9997795,0.99978685,0.9999759,0.9991036,0.999824,0.99965405,0.9996517,0.9996319,0.99929
user-controls,0.9999848,0.999978,0.9999073,0.99986225,0.99997133,0.99997914,1.0,0.9996591,1.0,0.9999669,0.99993175,0.99991316,0.9998547,0.9849772,0.99810064,0.99724245,0.9995293,0.9998705,0.9999255,0.99996716,0.9954538,0.9975827,0.99958116,0.9998648,0.99964887,0.9997605,0.9991475,0.9989481,0.9996254,0.99918085,0.99986553,0.9997482,0.9996556,0.99996674,0.9994116,0.9995853,0.97838175,0.98486024,0.9881109,0.99327326,0.98645,0.99613047,0.0,0.99998045,0.99517703,0.9999528,1.0,0.99941283,0.99963903,0.9998515,0.999851,0.99993956,0.99979717,1.0,1.0,0.9982095,0.99897987,0.99794894,0.99793124,0.99815243,0.99714786,0.9987894,0.99998313,0.9999141,0.9996752,0.9996118,1.0,1.0,0.9929987,0.9976536,0.99922234,0.9999621,0.9997234,0.9999563,0.99968433,0.99986416,0.9997207,0.99927175,0.99966604,1.0,0.9998391,0.9999746,0.9985687,0.9999171,0.9998437,0.99919856,0.9997941,0.9996058,1.0,0.99977875,0.9990224,0.9995628,0.9997416,1.0,0.99026644,1.0,1.0,0.9994503,0.9998238,0.99976707
java,0.9983847,0.99182487,0.99235666,0.99999386,0.9888262,0.9995929,1.0,0.99990296,0.99994314,0.9948181,0.9806239,0.9995821,0.99729073,0.99995613,0.9999951,0.99952364,0.9937385,0.99789184,0.9996924,0.9998535,0.9966868,0.99994344,0.99557346,0.9943716,0.9989568,0.9979938,0.9898853,0.99921936,0.99983746,0.99998647,0.9999878,0.99840796,0.99971735,0.99710095,0.99249935,0.9974179,0.99993944,0.9999881,0.9996792,0.9983923,0.9999515,0.99071485,0.99998045,0.0,0.9997227,0.9957573,0.9999557,0.99997914,0.99732214,0.9999603,0.9999988,0.9992081,0.9957341,0.9963405,0.9999216,0.9999963,0.9999963,0.99999017,0.9998755,0.9999497,0.99998546,0.9999807,0.98733115,0.98263,0.9787708,0.9987472,0.9999963,0.9999963,0.99991757,0.9999759,0.99374604,0.9793257,0.99518776,0.98672366,0.99377847,0.99417615,0.99772197,0.9971326,0.9956951,0.9997867,0.9997456,0.99067855,0.99999386,0.99951893,0.9955128,0.9953061,0.99726903,0.99322206,0.9999914,0.99986255,0.99993,0.999987,0.99998695,0.9999842,0.99956745,0.9964261,0.9928166,0.9956291,0.9888242,0.9985288
vb.net,0.9904447,0.9903845,0.99437255,0.9942915,0.99618864,0.9956968,0.99878454,0.9944792,0.99915785,0.9977198,0.99248195,0.99883026,0.9909639,0.9674986,0.97813123,0.98878807,0.9968703,0.9960458,0.99948007,0.9992954,0.98896915,0.9984495,0.9988025,0.9975895,0.9994904,0.9998443,0.99656594,0.99516094,0.99679613,0.99943334,0.9994321,0.9986229,0.9978737,0.99963653,0.9971621,0.9982656,0.98991185,0.9965359,0.99559695,0.99486464,0.9987139,0.99822843,0.99517703,0.9997227,0.0,0.9993325,0.9993166,0.9997533,0.99937946,0.9842662,0.9954807,0.99763274,0.9984888,0.9978175,0.9993493,0.99691683,0.99577606,0.9968422,0.9824126,0.97348344,0.98906696,0.9901334,0.99516135,0.992504,0.9936254,0.99828565,0.9991324,0.99942833,0.99796855,0.9987706,0.9981266,0.9947083,0.9967706,0.9973082,0.9983498,0.9981614,0.998853,0.99790955,0.9956397,0.99787116,0.9980596,0.9981132,0.9991511,0.99584955,0.9988429,0.99660033,0.99814063,0.99811935,0.99981886,0.9979828,0.99577457,0.99741304,0.9985684,0.9994803,0.9585432,0.99863905,0.99946237,0.99755806,0.994548,0.99956834
c++,0.99957347,0.9991201,0.99874437,0.9999527,0.9985007,0.99990577,0.9999972,0.9999673,1.0,0.99946654,0.99766505,0.9999017,0.99932,0.9992042,0.9999697,0.99998105,0.9974287,0.9993979,0.99992734,0.999912,0.9939777,0.99984443,0.9962063,0.99198174,0.9992448,0.9998312,0.99906313,0.9883539,0.9946346,0.99996895,0.9994908,0.99962956,0.99849904,0.99920166,0.99518293,0.99781865,0.9995581,0.9998014,0.9999316,0.9986368,0.9999782,0.9951612,0.9999528,0.9957573,0.9993325,0.0,0.99933183,0.9973205,0.9994977,0.9999548,0.99999726,0.9965053,0.99922884,0.99854004,0.9997354,0.9999718,0.9999306,0.9999637,0.9867529,0.98455626,0.99412966,0.9931111,0.9972473,0.9818429,0.98152363,0.99887884,0.99998033,0.99998873,0.9999104,0.999949,0.999684,0.977854,0.9963641,0.99905837,0.9992812,0.9994743,0.99996483,0.99991196,0.9713581,0.9995921,0.9734856,0.99179083,0.9999465,0.999776,0.9973854,0.99967194,0.99316174,0.99249595,0.99995,0.9998628,0.9999869,0.9999923,0.9999922,0.9999918,0.9998354,0.99966824,0.9997703,0.99782616,0.9994109,0.9996517
clr,0.9986289,0.99968636,0.9999674,1.0,0.9999935,0.99925226,1.0,0.9998324,0.9999478,0.9999277,0.9999822,0.99984455,0.99992156,0.99952495,0.99992526,1.0,1.0,0.99992245,0.99990815,0.9994875,0.99844205,0.999004,1.0,0.99965507,0.99983346,0.99991393,0.9987427,0.99641705,0.99660677,0.9905336,0.9996935,0.99939054,0.9956976,0.9999972,0.9986552,0.99864256,0.9998014,0.9998178,0.9999362,0.99951684,0.99994004,0.9998463,1.0,0.9999557,0.9993166,0.99933183,0.0,0.98019063,0.98788786,0.9995901,0.99986714,0.9996511,0.99953413,0.9998924,0.9973199,0.9977903,0.99555385,0.9981468,0.9986067,0.99882776,0.99870425,0.99914384,0.99992955,0.9996596,0.99918586,0.9998343,0.99898446,0.9992992,0.99956244,0.9999559,0.99985933,0.9998345,0.9999284,0.9999726,0.99999005,1.0,1.0,1.0,0.9996699,0.99927807,0.99915326,0.9999708,0.9994455,0.99965227,0.9998499,0.99701846,0.99816424,0.99915475,0.9975032,0.9997277,0.9999349,0.99997544,0.99997026,1.0,0.9997855,1.0,0.99997,0.9997847,0.9998043,0.99942076
c++-cli,0.99994534,0.99997777,0.9999039,0.99964017,0.99997103,0.9999775,1.0,0.9999595,1.0,0.9999825,0.9997979,0.9993836,0.9999236,0.9947961,0.9995351,1.0,0.9997439,0.99970883,0.9999574,0.99988914,0.9988985,0.9994351,0.9998688,0.99970216,0.999927,0.99992484,0.9982615,0.99121565,0.996263,0.9977991,0.9993023,0.99987847,0.98077875,1.0,0.9989012,0.9991094,0.99942356,0.99982667,0.99982727,0.9985658,0.9998366,0.9992981,0.99941283,0.99997914,0.9997533,0.9973205,0.98019063,0.0,0.99731517,0.9999604,1.0,0.99939126,0.9999168,0.999852,0.9995467,0.9990999,0.99804515,0.99856824,0.9963402,0.9932965,0.99436605,0.9963878,0.9999219,0.9987305,0.9985089,0.9997979,0.9994732,1.0,0.99993634,0.99987686,0.9996226,0.9993929,0.99961,0.999982,0.9999938,0.99999744,1.0,0.9999915,0.99895513,0.99979997,0.99826324,0.9996105,0.99985904,0.9997323,0.99948543,0.9992704,0.9988552,0.999727,0.99991465,0.9999157,1.0,0.9999764,1.0,0.9998734,0.9999566,1.0,1.0,0.9997532,0.9999161,0.9999274
garbage-collection,0.99996156,0.99997056,0.9999268,0.9996166,0.9999712,0.9999354,0.9999257,0.99976623,0.9999561,0.9999321,0.99994814,1.0,0.9999109,0.9994084,0.9999411,0.9999153,0.9998137,1.0,0.9999606,0.999931,0.99835813,0.99932605,0.99971765,0.99921095,0.999936,0.9997373,0.9996629,0.999902,0.9986925,0.99987954,1.0,1.0,0.99861825,0.9998695,0.9993435,0.9996755,0.9995493,0.99989057,0.99994814,0.9984163,0.9997043,0.9998063,0.99963903,0.99732214,0.99937946,0.9994977,0.98788786,0.99731517,0.0,0.99990463,0.9997321,0.9993363,0.999842,0.99995494,0.9972927,0.999651,0.997534,0.99940234,0.9999157,0.9999209,0.9999065,0.9999225,0.9999573,0.99934965,0.99746764,0.9994472,0.99915934,0.9994633,0.99969995,0.99961954,0.99808955,0.9996473,0.9996485,0.99991155,0.9996391,0.9999773,0.99996626,0.999933,0.99983007,0.9991609,0.9998649,0.99952465,0.9988905,0.99959356,0.9995394,0.9994936,0.99901545,0.99517846,0.9995602,0.99961,0.99990106,0.9999548,0.9999731,0.9997743,0.99975324,0.9999539,0.99997294,0.9996394,0.99991935,0.9998089
linq,0.9930403,0.9887853,0.9970723,0.9954777,0.9992647,0.9974263,0.9871814,0.9321087,0.98807603,0.99917084,0.9849221,0.99956053,0.9993198,0.99669546,0.9967456,0.99676937,0.99986595,0.9966048,0.9988982,0.99981165,0.95890504,0.985566,0.9992283,0.9995498,0.99955064,0.9999095,0.9929843,0.99993384,0.9999817,0.99987584,0.9998877,0.9999315,0.99990034,0.99997896,0.9987982,0.9990975,0.9969083,0.9991506,0.99790585,0.99985397,0.999237,0.9999475,0.9998515,0.9999603,0.9842662,0.9999548,0.9995901,0.9999604,0.99990463,0.0,0.9254887,0.96285564,0.99991024,0.99987143,0.9993203,0.9997327,0.99587387,0.99426794,0.99816793,0.9976663,0.9985979,0.99908817,0.999128,0.99726874,0.9995108,0.9995626,0.99937415,0.9994933,0.99722576,0.99785477,0.9923563,0.9977018,0.9858861,0.9983709,0.99991375,0.99988765,0.99986887,0.9997868,0.9998121,0.99984604,0.99998564,0.9999615,0.99981654,0.9973665,0.9989465,0.9960546,0.9994899,0.99379265,0.99884385,0.9998782,0.98637825,0.99259365,0.9932254,0.9986479,0.98848873,0.999757,0.9996233,0.9988417,0.99911803,0.9999103
linq-to-sql,0.99341726,0.9959807,0.99758977,0.9952698,0.9998463,0.9958669,0.9958781,0.9879173,0.9973415,0.9998006,0.9995819,0.9994484,0.9999185,0.99787533,0.99814886,0.99741817,0.9998444,0.99825984,0.99962085,1.0,0.99194664,0.9932288,0.99809825,0.9994494,0.99812466,0.9991627,0.9979343,0.99996257,1.0,0.99986285,1.0,0.9997973,1.0,0.9999986,0.9986042,0.99912345,0.99847895,0.99976647,0.996705,0.9999712,0.9989076,0.99997646,0.999851,0.9999988,0.9954807,0.99999726,0.99986714,1.0,0.9997321,0.9254887,0.0,0.991977,0.9998644,0.9998244,0.9996361,0.99993277,0.9973112,0.99402034,0.99809813,0.9981501,0.99688166,0.99925184,0.9999514,0.999745,0.9995934,0.9998571,0.99981016,0.9997436,0.9986351,0.9979083,0.99892056,0.9998903,0.99947864,0.99985754,0.9999852,0.99997765,0.9999666,0.9999205,0.9999549,0.99972534,1.0,0.99997735,0.9997386,0.9975811,0.9990965,0.9986926,0.9997165,0.99762005,0.9986937,0.9995614,0.9934523,0.9966471,0.9985041,0.99966663,0.9950263,1.0,0.9999306,0.9980646,0.99930173,0.999818
lambda,0.99976623,0.9994599,0.99989825,0.9998729,0.9999524,0.9998982,0.99676836,0.9921859,0.9983471,0.9999676,0.9997804,0.9999215,0.99997145,0.99958616,0.9997459,1.0,0.9999851,0.99950135,0.9999288,0.99987376,0.99461395,0.99405026,0.9994177,0.99979055,0.9998908,0.999721,0.9928395,0.99991345,0.999942,1.0,1.0,1.0,0.9999221,0.99990875,0.9992693,0.9994474,0.9996729,0.9999745,0.999818,0.99845684,0.99960834,0.99981976,0.99993956,0.9992081,0.99763274,0.9965053,0.9996511,0.99939126,0.9993363,0.96285564,0.991977,0.0,1.0,0.9998795,0.9998084,1.0,0.9983425,0.99588937,0.99952114,0.99885374,0.9995845,0.99908733,0.9998248,0.9994798,0.99898756,0.99852324,0.9987707,0.99875,0.9996946,0.999931,0.99697,0.9995718,0.9956685,0.9999136,0.9999333,0.9999724,0.99997485,0.99999183,0.9999648,0.9999316,0.99987614,0.9999754,0.9997439,0.99979776,0.9990399,0.993409,0.9994888,0.9989752,0.9985905,0.9999647,0.9981522,0.99857193,0.9988215,0.9997551,0.9994378,0.999959,0.99992436,0.9992761,0.99996173,0.99994564
security,0.99738955,0.9983546,0.9953581,0.99987054,0.9968933,0.9985122,0.9998463,0.9994408,0.99966896,0.9987325,0.9990226,0.9998877,0.99959093,0.9989895,1.0,0.99987805,0.99858695,0.99996364,0.9977189,0.99886274,0.9970776,0.99929225,0.9991658,0.9995743,0.99749434,0.9998285,0.99998087,0.9990209,0.9993269,0.99923223,0.99992305,0.99833715,0.99974805,0.9928525,0.99867815,0.9997804,0.9993993,0.99990344,0.9999109,0.99985194,0.9997602,0.99944896,0.99979717,0.9957341,0.9984888,0.99922884,0.99953413,0.9999168,0.999842,0.99991024,0.9998644,1.0,0.0,0.9640821,0.9998443,0.99973667,0.9986419,0.99957097,0.99953425,0.9995797,0.99963796,0.99980545,0.99936926,0.9992893,0.9996939,0.9999154,1.0,1.0,0.9980956,0.9995758,0.99988484,0.9998782,0.99994373,0.99857706,0.99782765,0.998449,0.99932706,0.99645054,0.99451596,0.99901277,0.9968379,0.99815327,0.9998266,0.9904418,0.99959993,0.99869716,0.9992079,0.9985187,0.9999745,0.9940516,0.99510604,0.99721605,0.9973507,0.9968502,0.9927044,0.9981567,0.9924945,0.9994136,0.98951864,0.9983018
encryption,0.9983303,0.9993419,0.99778515,0.99995625,0.9986764,0.9981657,1.0,0.99973834,0.9998465,0.99914116,0.99892366,0.9996978,0.9997278,0.99939185,0.99985075,0.9999103,0.9991101,0.99994904,0.99909,0.999536,0.997137,0.9989865,0.9998556,0.9998676,0.9996854,1.0,0.99997264,0.9994374,1.0,0.9998344,0.99978465,0.9996808,0.9997996,0.99702877,0.9989521,0.9998811,0.9997196,0.99993527,0.99989694,1.0,0.9999668,0.99993473,1.0,0.9963405,0.9978175,0.99854004,0.9998924,0.999852,0.99995494,0.99987143,0.9998244,0.9998795,0.9640821,0.0,0.99929714,0.99951106,0.99958396,0.999489,0.9997205,0.99956936,0.9996794,0.9997193,0.999937,0.9981486,0.9997933,0.9999366,1.0,1.0,0.9995595,0.9989189,1.0,0.9995365,0.9998374,0.9995033,0.9992143,0.9998275,0.9998922,0.9997911,0.998871,0.999724,0.9991624,0.99850935,0.999469,0.9986904,0.9998502,0.99989855,0.99978745,0.99912983,0.99991477,0.99932295,0.9994624,0.99961174,0.9994259,0.9997821,0.9982852,0.9988246,0.99935836,0.9988427,0.9985508,0.99854803
mono,0.9999004,0.99994856,0.9998024,0.99919206,0.99974436,0.9999787,0.9998574,0.9993641,0.9986699,0.9998656,0.99970764,0.99905777,0.99989694,0.99808055,0.99988616,0.9999173,0.9997845,0.9996998,0.9994604,0.99989855,0.9956907,0.99827576,0.9998818,0.99994457,0.9998148,0.999747,0.9988992,0.9971819,0.9998017,0.9981952,0.99784964,0.99868006,0.9977572,0.9999681,0.9991426,0.9994369,0.9998284,0.99983835,0.9998993,0.99917287,0.9998083,0.9993461,1.0,0.9999216,0.9993493,0.9997354,0.9973199,0.9995467,0.9972927,0.9993203,0.9996361,0.9998084,0.9998443,0.99929714,0.0,0.999564,0.9990536,0.99934906,0.9988327,0.99902177,0.99954444,0.99912804,0.99995756,0.9998759,0.99883467,0.9990574,0.9987116,0.99828005,0.9994985,0.99977666,0.99989134,0.9999542,0.9999349,0.99967426,0.9999876,0.9999773,0.9999916,0.9999167,0.9987935,0.99960005,0.9997018,0.9991673,0.9998959,0.9975862,0.9994931,0.9987199,0.99797255,0.9994255,0.99049175,0.9997331,0.9985661,0.998594,0.9989411,0.9991251,0.99854845,0.9989215,0.9997069,0.99890083,0.99888295,0.9995084
.net-2.0,0.9998494,0.9999365,0.9999564,0.997402,0.9999741,0.9998124,1.0,0.9999579,0.9997891,0.99990934,0.9993386,0.99711585,0.9998584,0.99526644,0.99802715,0.99863684,0.99988455,0.999258,0.9999074,1.0,0.9982728,0.9998256,0.99957156,0.9997163,0.999831,1.0,0.99781364,0.99933815,0.9986048,0.9984479,0.9988549,0.99910885,0.9977942,1.0,0.9994077,0.9993115,0.99997014,1.0,0.99877346,0.9994323,1.0,0.9995981,0.9982095,0.9999963,0.99691683,0.9999718,0.9977903,0.9990999,0.999651,0.9997327,0.99993277,1.0,0.99973667,0.99951106,0.999564,0.0,0.9901363,0.985422,0.99919784,0.9990161,0.9967505,0.999546,0.99975306,0.9995275,0.9993588,0.99977696,1.0,1.0,0.99986464,1.0,0.99843127,0.99978685,0.9993529,0.999881,0.99997383,0.9999694,0.99998474,0.9998962,0.9995419,0.998031,0.99980634,0.999824,0.99327314,0.9993481,0.99951696,0.9983695,0.9998608,0.99964213,0.9998986,0.9994509,0.9999441,0.99995065,1.0,0.99985653,0.99855113,0.9997208,0.99993974,0.99885774,0.99860144,0.99932826
.net-4.0,0.9995218,0.99986464,0.99989736,0.99838567,0.9999427,0.9990256,0.9930871,0.99615,0.9985754,0.9996544,0.9994469,0.9978081,0.99965304,0.99430215,0.99824476,0.9990566,0.9998491,0.9990392,0.9993384,0.99944836,0.9943931,0.98669976,0.9992864,0.9998126,0.9996564,0.9992968,0.9966259,0.9982449,0.9982892,0.99752986,0.996049,0.99881226,0.9987474,0.9999931,0.99887174,0.9984911,0.9923798,0.99612993,0.99834156,0.99881065,0.99769104,0.9995523,0.99897987,0.9999963,0.99577606,0.9999306,0.99555385,0.99804515,0.997534,0.99587387,0.9973112,0.9983425,0.9986419,0.99958396,0.9990536,0.9901363,0.0,0.9821388,0.9982727,0.9881304,0.9990951,0.997427,0.99975634,0.99958444,0.9957691,0.9968926,0.981362,0.997216,0.99829155,0.99950224,0.9989315,0.9999093,0.9994721,0.99957335,0.9999419,0.99994975,0.9999445,0.9997691,0.99925166,0.9965022,0.99945927,0.99967265,0.999908,0.990404,0.99886376,0.9964692,0.99895173,0.9990798,0.99941874,0.9970089,0.9987685,0.997087,0.9987446,0.99851584,0.9964536,0.9996176,0.9986325,0.99808246,0.9984038,0.9985731
.net-3.5,0.99953574,0.99980426,0.99983144,0.99781466,0.9999551,0.999541,0.9994522,0.9972697,0.9991393,0.99977684,0.99925214,0.9979701,0.99966997,0.9933339,0.9969894,0.99851656,0.9998588,0.9990598,0.99991906,0.9997175,0.99590135,0.9992704,0.99921215,0.9997417,0.9991301,0.999794,0.9971114,0.9987834,0.99841315,0.99816346,0.99692863,0.9975676,0.99830955,0.9999903,0.99914014,0.99871004,0.99617535,0.9980173,0.9973629,0.99909973,0.9992863,0.99957705,0.99794894,0.99999017,0.9968422,0.9999637,0.9981468,0.99856824,0.99940234,0.99426794,0.99402034,0.99588937,0.99957097,0.999489,0.99934906,0.985422,0.9821388,0.0,0.9986731,0.9978318,0.98852706,0.9993238,0.999794,0.9994704,0.99822766,0.9988113,0.9992092,0.99965334,0.99938744,0.9998439,0.9987168,0.9998459,0.9994648,0.9995905,0.99994916,0.99995196,0.99993753,0.9997474,0.99940014,0.9957196,0.9996544,0.99956995,0.9911889,0.9948103,0.9994481,0.9968474,0.99915206,0.99944836,0.99976885,0.9983967,0.9992483,0.99995416,0.99997264,0.9995895,0.9969284,0.99928635,0.99933845,0.99874413,0.9982193,0.9986682
visual-studio,0.9950921,0.99805534,0.9975837,0.9985638,0.99945587,0.9985255,0.999567,0.9963764,0.99955016,0.9989777,0.99808,0.99971175,0.99856263,0.9889731,0.9976509,0.998276,0.99935627,0.99964315,0.9968635,0.99817014,0.98585063,0.9977617,0.99958223,0.99919176,0.9991312,0.9997614,0.99962753,0.9877397,0.9963794,0.99748033,0.98082304,0.9942235,0.99909234,0.9999087,0.997514,0.9989093,0.99470687,0.99553967,0.99937415,0.9990073,0.99967474,0.9979738,0.99793124,0.9998755,0.9824126,0.9867529,0.9986067,0.9963402,0.9999157,0.99816793,0.99809813,0.99952114,0.99953425,0.9997205,0.9988327,0.99919784,0.9982727,0.9986731,0.0,0.9369236,0.95509404,0.95516086,0.99853987,0.9990432,0.99824834,0.9996829,0.9998879,0.9996394,0.99640536,0.996894,0.9997353,0.9992807,0.99955314,0.99972314,0.99936044,0.99941057,0.99979776,0.9996763,0.99124956,0.9985509,0.9954338,0.99962974,0.99879646,0.99659115,0.99152493,0.9993977,0.9725667,0.9984208,0.9975925,0.99483514,0.99516934,0.99885195,0.9981155,0.9991469,0.98954576,0.99934775,0.99969447,0.99949324,0.99696755,0.9973536
visual-studio-2010,0.99571204,0.9976632,0.9972874,0.99820155,0.99908376,0.99403346,0.9972042,0.9954229,0.9993434,0.9988663,0.99793655,0.99977195,0.9979494,0.98417497,0.995541,0.99781144,0.99899524,0.99927473,0.9968444,0.99874824,0.98404485,0.9876982,0.9998889,0.99957925,0.99959105,0.99981284,0.9995992,0.9871265,0.9971674,0.9984061,0.9844125,0.9944021,0.99915123,0.99993676,0.99777067,0.9992347,0.99225116,0.9957544,0.99900764,0.9990089,0.9991959,0.99814034,0.99815243,0.9999497,0.97348344,0.98455626,0.99882776,0.9932965,0.9999209,0.9976663,0.9981501,0.99885374,0.9995797,0.99956936,0.99902177,0.9990161,0.9881304,0.9978318,0.9369236,0.0,0.9876822,0.9835678,0.9988081,0.99882275,0.9978626,0.9997663,0.9996856,0.9998316,0.99448997,0.99316233,0.9998215,0.9990684,0.99939054,0.99960315,0.99944454,0.9994563,0.9997211,0.9996066,0.993927,0.99748003,0.99649286,0.9993687,0.999767,0.99388963,0.9921788,0.9995512,0.9819223,0.99832517,0.99826115,0.9960536,0.9960815,0.992747,0.99798095,0.99940956,0.9880217,0.99908096,0.99952084,0.9995196,0.9964801,0.99769425
visual-studio-2008,0.99820495,0.9992579,0.99912935,0.99868286,0.99986,0.996688,0.9998218,0.998523,0.999559,0.9996908,0.9993021,0.9996323,0.99939716,0.99353194,0.9974153,0.998311,0.99970025,0.9996614,0.99976724,0.999763,0.99556136,0.99946785,0.9998816,0.99979776,0.9998375,0.99995875,0.9997759,0.9920156,0.99654865,0.9973341,0.9904912,0.99515647,0.9989019,0.9999808,0.9982955,0.99905694,0.99793994,0.9984607,0.99922186,0.99927866,0.9999317,0.9990688,0.99714786,0.99998546,0.98906696,0.99412966,0.99870425,0.99436605,0.9999065,0.9985979,0.99688166,0.9995845,0.99963796,0.9996794,0.99954444,0.9967505,0.9990951,0.98852706,0.95509404,0.9876822,0.0,0.99795675,0.99957985,0.99946046,0.9990168,0.9998047,1.0,1.0,0.9979644,0.99974495,0.9998882,0.9998207,0.99968815,0.99994266,0.99981606,0.99983954,0.9998804,0.9997975,0.99677306,0.9977009,0.9967,0.9996799,0.99458855,0.99760914,0.9941519,0.9997913,0.9843742,0.9991038,0.99942565,0.997512,0.9983996,0.99986863,1.0,0.99992514,0.9944967,0.9995437,0.9998259,0.99971133,0.9977427,0.99768704
visual-studio-2012,0.99697834,0.9987842,0.9988892,0.999093,0.99957025,0.99882954,0.99921834,0.9948489,0.9997789,0.9991011,0.9992408,0.9998722,0.9992816,0.99429786,0.9979582,0.9989464,0.9995631,0.99955636,0.99461263,0.9985838,0.9931324,0.99672765,0.9998692,0.99977523,0.9996902,0.99989533,0.9998007,0.9914196,0.998282,0.9991713,0.9834482,0.9967212,0.9994909,0.9999809,0.9981126,0.9994104,0.99585634,0.9933133,0.9994498,0.99949855,0.99913955,0.9992734,0.9987894,0.9999807,0.9901334,0.9931111,0.99914384,0.9963878,0.9999225,0.99908817,0.99925184,0.99908733,0.99980545,0.9997193,0.99912804,0.999546,0.997427,0.9993238,0.95516086,0.9835678,0.99795675,0.0,0.99948686,0.99952894,0.9993242,0.99960166,0.99965143,0.99863607,0.9981579,0.99757797,0.99993604,0.9996594,0.99954194,0.999652,0.99959624,0.9997264,0.9998351,0.9997817,0.99673396,0.9984205,0.99764836,0.9998051,0.99991095,0.9971347,0.99207443,0.99978906,0.99011445,0.99926007,0.997854,0.99684346,0.9959872,0.9983864,0.9895511,0.99758744,0.99539214,0.9994589,0.99974203,0.9995226,0.9981249,0.9989694
